gameDate,player1Odds,player2Odds,playersNames,score,tournamentName
23 Sep 2012,1.33,1.33,Whitlock S. - Lloyd C.,10:7,European Championship 2012 Results & Historical Odds
23 Sep 2012,2.62,2.62,Huybrechts K. - van Barneveld R.,10:8,European Championship 2012 Results & Historical Odds
23 Sep 2012,1.05,9.29,Taylor P. - Dolan B.,6:10,European Championship 2012 Results & Historical Odds
23 Sep 2012,1.96,1.79,Hamilton A. - Newton W.,7:10,European Championship 2012 Results & Historical Odds
22 Sep 2012,1.74,1.74,Lloyd C. - Burnett R.,10:8,European Championship 2012 Results & Historical Odds
22 Sep 2012,1.93,1.78,White I. - Huybrechts K.,5:10,European Championship 2012 Results & Historical Odds
22 Sep 2012,1.50,1.50,van Barneveld R. - van Gerwen M.,10:9,European Championship 2012 Results & Historical Odds
22 Sep 2012,1.64,1.64,Whitlock S. - Chisnall D.,10:5,European Championship 2012 Results & Historical Odds
22 Sep 2012,1.02,1.02,Taylor P. - Hendricks J.,10:7,European Championship 2012 Results & Historical Odds
22 Sep 2012,1.49,1.49,Newton W. - Painter K.,10:5,European Championship 2012 Results & Historical Odds
22 Sep 2012,1.58,1.58,Hamilton A. - Baxter R.,10:8,European Championship 2012 Results & Historical Odds
22 Sep 2012,2.04,1.70,Welge A. - Dolan B.,5:10,European Championship 2012 Results & Historical Odds
21 Sep 2012,1.49,1.49,Huybrechts K. - Van der Voort V.,6:4,European Championship 2012 Results & Historical Odds
21 Sep 2012,2.20,1.63,Jenkins T. - van Barneveld R.,1:6,European Championship 2012 Results & Historical Odds
21 Sep 2012,1.30,3.46,Lewis A. - White I.,0:6,European Championship 2012 Results & Historical Odds
21 Sep 2012,1.36,3.05,Wade J. - Lloyd C.,3:6,European Championship 2012 Results & Historical Odds
21 Sep 2012,1.33,1.33,Whitlock S. - Walsh M.,6:2,European Championship 2012 Results & Historical Odds
21 Sep 2012,1.20,1.20,Chisnall D. - Vos G.,6:3,European Championship 2012 Results & Historical Odds
