gameDate,player1Odds,player2Odds,playersNames,score,tournamentName
29 Apr 2012,1.65,2.07,Anderson G. - Pipe J.,2:6,European Tour 1 2012 Results & Historical Odds
29 Apr 2012,2.63,2.63,Burnett R. - Winstanley D.,6:3,European Tour 1 2012 Results & Historical Odds
29 Apr 2012,1.56,1.56,Chisnall D. - Painter K.,6:3,European Tour 1 2012 Results & Historical Odds
29 Apr 2012,2.66,2.66,Cullen J. - Walsh M.,6:4,European Tour 1 2012 Results & Historical Odds
29 Apr 2012,1.31,1.31,Newton W. - Ovens D.,6:3,European Tour 1 2012 Results & Historical Odds
29 Apr 2012,3.03,3.03,Richardson J. - van Gerwen M.,6:5,European Tour 1 2012 Results & Historical Odds
29 Apr 2012,1.51,1.51,Wade J. - Huybrechts K.,6:1,European Tour 1 2012 Results & Historical Odds
29 Apr 2012,2.23,1.57,Webster M. - van Barneveld R.,2:6,European Tour 1 2012 Results & Historical Odds
28 Apr 2012,1.40,1.40,Anderson G. - Stompe C.,6:2,European Tour 1 2012 Results & Historical Odds
28 Apr 2012,2.10,1.65,Hamilton A. - Chisnall D.,4:6,European Tour 1 2012 Results & Historical Odds
28 Apr 2012,1.83,1.88,Lloyd C. - van Gerwen M.,1:6,European Tour 1 2012 Results & Historical Odds
28 Apr 2012,1.36,1.36,Painter K. - Dudbridge M.,6:2,European Tour 1 2012 Results & Historical Odds
28 Apr 2012,1.36,1.36,van Barneveld R. - Osborne C.,6:4,European Tour 1 2012 Results & Historical Odds
28 Apr 2012,1.36,1.36,Wade J. - Beaton S.,6:4,European Tour 1 2012 Results & Historical Odds
08 Sep 2013,1.72,1.72,Chisnall D. - Wright P.,6:2,European Tour 6 2013 Results & Historical Odds
28 Apr 2012,1.25,3.65,Whitlock S. - Cullen J.,4:6,European Tour 1 2012 Results & Historical Odds
28 Apr 2012,1.20,1.20,Winstanley D. - Walker J.,6:5,European Tour 1 2012 Results & Historical Odds
08 Sep 2013,1.48,1.48,Wright P. - Burnett R.,6:5,European Tour 6 2013 Results & Historical Odds
08 Sep 2013,2.67,1.45,Beaton S. - Chisnall D.,4:6,European Tour 6 2013 Results & Historical Odds
28 Apr 2012,5.75,1.11,Cousins G. - Burnett R.,3:6,European Tour 1 2012 Results & Historical Odds
28 Apr 2012,1.42,2.66,Jenkins T. - Ovens D.,3:6,European Tour 1 2012 Results & Historical Odds
08 Sep 2013,1.53,2.46,Caven J. - Burnett R.,4:6,European Tour 6 2013 Results & Historical Odds
08 Sep 2013,3.07,1.37,Gurney D. - Wright P.,2:6,European Tour 6 2013 Results & Historical Odds
28 Apr 2012,1.20,1.20,Newton W. - Evans S.,6:2,European Tour 1 2012 Results & Historical Odds
28 Apr 2012,2.61,2.61,Richardson J. - Wright P.,6:3,European Tour 1 2012 Results & Historical Odds
08 Sep 2013,2.15,1.69,Painter K. - Chisnall D.,5:6,European Tour 6 2013 Results & Historical Odds
08 Sep 2013,1.40,2.84,Hamilton A. - Beaton S.,3:6,European Tour 6 2013 Results & Historical Odds
28 Apr 2012,2.20,1.60,Van der Voort V. - Huybrechts K.,0:6,European Tour 1 2012 Results & Historical Odds
28 Apr 2012,3.77,1.23,Vos G. - Pipe J.,4:6,European Tour 1 2012 Results & Historical Odds
08 Sep 2013,1.71,1.71,Burnett R. - Brown S.,6:2,European Tour 6 2013 Results & Historical Odds
08 Sep 2013,1.44,1.44,Caven J. - Van der Voort V.,6:1,European Tour 6 2013 Results & Historical Odds
28 Apr 2012,1.58,1.58,Walsh M. - Smith M.,6:5,European Tour 1 2012 Results & Historical Odds
08 Sep 2013,1.94,1.78,Klaasen J. - Wright P.,3:6,European Tour 6 2013 Results & Historical Odds
08 Sep 2013,1.28,3.49,Whitlock S. - Gurney D.,5:6,European Tour 6 2013 Results & Historical Odds
28 Apr 2012,1.38,1.38,Webster M. - Tabern A.,6:0,European Tour 1 2012 Results & Historical Odds
08 Sep 2013,1.53,1.53,Chisnall D. - Nicholson P.,6:5,European Tour 6 2013 Results & Historical Odds
08 Sep 2013,2.01,2.01,Painter K. - Pipe J.,6:4,European Tour 6 2013 Results & Historical Odds
27 Apr 2012,1.48,1.48,Anderson G. - Rand S.,6:4,European Tour 1 2012 Results & Historical Odds
08 Sep 2013,1.99,1.77,Smith A. - Beaton S.,5:6,European Tour 6 2013 Results & Historical Odds
08 Sep 2013,1.29,3.47,van Gerwen M. - Hamilton A.,4:6,European Tour 6 2013 Results & Historical Odds
27 Apr 2012,1.20,4.18,Baxter R. - Walker J.,5:6,European Tour 1 2012 Results & Historical Odds
27 Apr 2012,1.93,1.74,Caven J. - Smith M.,4:6,European Tour 1 2012 Results & Historical Odds
07 Sep 2013,1.44,2.66,Thornton R. - Burnett R.,5:6,European Tour 6 2013 Results & Historical Odds
27 Apr 2012,1.34,1.34,Hamilton A. - Scholten R.,6:3,European Tour 1 2012 Results & Historical Odds
27 Apr 2012,1.62,2.13,King M. - van Gerwen M.,4:6,European Tour 1 2012 Results & Historical Odds
07 Sep 2013,1.89,1.89,Van der Voort V. - Dolan B.,6:2,European Tour 6 2013 Results & Historical Odds
07 Sep 2013,2.96,1.38,Artut J. - Hamilton A.,1:6,European Tour 6 2013 Results & Historical Odds
27 Apr 2012,1.55,1.55,Osborne C. - Howson R.,6:4,European Tour 1 2012 Results & Historical Odds
27 Apr 2012,1.29,1.29,Ovens D. - Scott J.,6:5,European Tour 1 2012 Results & Historical Odds
